symbol,name,sector,market_cap
AKSHARCHEM,AksharChem India Limited,Basic Materials,1951159424.0
AKSHOPTFBR,Aksh Optifibre Limited,Technology,1229996672.0
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,96438992896.0
ALANKIT,Alankit Limited,Technology,2326536704.0
ALBERTDAVD,Albert David Limited,Healthcare,4124566016.0
ALEMBICLTD,Alembic Limited,Real Estate,24301832192.0
ALGOQUANT,Algoquant Fintech Limited,Financial Services,16219241472.0
ALICON,Alicon Castalloy Limited,Industrials,10807635968.0
ALIVUS,Alivus Life Sciences Limited,Healthcare,137946873856.0
ALKALI,Alkali Metals Limited,Basic Materials,872844416.0
ALKEM,Alkem Laboratories Limited,Healthcare,654977073152.0
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,93807198208.0
ALLCARGO,Allcargo Logistics Limited,Industrials,12611294208.0
ALLDIGI,Alldigi Tech Limited,Industrials,12334662656.0
ALLTIME,All Time Plastics Limited,Consumer Defensive,15869913088.0
ALMONDZ,Almondz Global Securities Limited,Financial Services,2299931904.0
ALOKINDS,Alok Industries Limited,Consumer Cyclical,65541173248.0
ALPA,Alpa Laboratories Limited,Healthcare,1441912320.0
ALPHAGEO,Alphageo (India) Limited,Energy,1336601088.0
AMAGI,Amagi Media Labs Limited,Technology,114875981824.0
AMANTA,Amanta Healthcare Limited,Healthcare,6232111104.0
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Healthcare,
AMBER,Amber Enterprises India Limited,Consumer Cyclical,278491922432.0
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Consumer Defensive,425655968.0
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,9615710208.0
AMBUJACEM,Ambuja Cements Limited,Basic Materials,1063501758464.0
AMDIND,AMD Industries Limited,Consumer Cyclical,895087168.0
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,Consumer Defensive,
AMJLAND,Amj Land Holdings Limited,Real Estate,1582189952.0
AMNPLST,Amines & Plasticizers Limited,Basic Materials,10831787008.0
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,15951399936.0
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,320127565824.0
ANANTRAJ,Anant Raj Limited,Real Estate,190554832896.0
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,12624999424.0
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,11466294272.0
ANGELONE,Angel One Limited,Financial Services,322503671808.0
ANIKINDS,Anik Industries Limited,Consumer Defensive,1281378432.0
ANMOL,Anmol India Limited,Energy,663049856.0
ANTELOPUS,Antelopus Selan Energy Limited,Energy,29606707200.0
ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,124007680.0
ANTHEM,Anthem Biosciences Limited,Healthcare,433025220608.0
ANUHPHR,Anuh Pharma Limited,Healthcare,8112130560.0
ANUP,The Anup Engineering Limited,Industrials,47652851712.0
ANURAS,Anupam Rasayan India Limited,Basic Materials,147228639232.0
APARINDS,Apar Industries Limited,Industrials,662955229184.0
APCL,Anjani Portland Cement Limited,Basic Materials,3316410880.0
APCOTEXIND,Apcotex Industries Limited,Basic Materials,28670263296.0
APEX,Apex Frozen Foods Limited,Consumer Defensive,12990625792.0
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,514362179584.0
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,154616545280.0
APOLLO,Apollo Micro Systems Limited,Industrials,153564561408.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,1229286932480.0
APOLLOPIPE,Apollo Pipes Limited,Industrials,21933326336.0
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,270301986816.0
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,3463732736.0
APTECHT,Aptech Limited,Consumer Defensive,6251543552.0
